fielddate	CPI_M_CHI	WAG_M	WAG_C_M	IP2_EA_M	UNEMPL_M_SH	RTRD_M_DIRI	RTRD_M	INVFC_M	IM_T_M	USD	EUR	RTS_LAST_VALUE	RTS_CLOSE_MEAN	RTS_TRADING_VOLUME_MEAN	DEP_FIZ	IPOT_CNT	IPOT_VOLUME	IPOT_DEBT
2007-12	101.1	232.72	18591.0		6.1	301.4	1241.5	1235.0	24.9	24.574886363636367	35.78258636363636	2290.51	2282.9014999999995	58195596.6				
2008-01	102.3	179.19	14771.0		6.6	226.0	942.0	364.3	15.6	24.500062500000002	36.0061625	1906.97	2111.997058823529	68477216.8235294				
2008-02	101.2	184.39	15354.0		7.1	228.5	962.3	447.3	21.0	24.527330000000003	36.123125	2063.94	2007.4260000000002	56912296.7				
2008-03	101.2	192.13	16172.0		6.5	245.4	1047.2	503.0	23.2	23.76038	36.791385	2053.93	2023.9749999999997	50804393.4				
2008-04	101.4	194.06	16538.0		6.0	248.1	1074.6	544.1	25.2	23.512913636363635	37.06348181818181	2122.5	2119.090909090909	40921136.31818182				
2008-05	101.4	192.89	16643.0		5.4	253.6	1113.5	672.2	24.3	23.719609523809527	36.91281904761905	2459.88	2363.9375	48515519.65				
2008-06	101.0	203.31	17715.0		5.6	256.6	1136.6	775.2	25.3	23.64323684210526	36.803973684210526	2303.34	2360.4205	42125527.0				
2008-07	100.5	203.31	17758.0		5.7	266.4	1184.9	725.5	28.7	23.34789565217391	36.84173913043478	1966.68	2123.8760869565217	41408042.0				
2008-08	100.4	197.61	17244.0		5.8	275.4	1228.6	782.0	27.1	24.153336363636367	36.25637727272728	1646.14	1745.2519047619048	37842199.666666664				
2008-09	100.8	201.76	17739.0		6.2	276.6	1242.8	861.5	27.2	25.26993333333333	36.348695238095225	1211.84	1341.1154545454547	24030640.76190476				
2008-10	100.9	198.94	17643.0		6.6	281.0	1277.6	879.0	26.7	26.356378260869565	35.28066956521739	773.37	790.2828571428571	10053603.38095238				
2008-11	100.8	196.75	17598.0		7.0	271.4	1244.4	877.4	21.1	27.3337	34.767779999999995	658.14	677.3905263157894	13506431.105263159				
2008-12	100.7	240.63	21681.0		7.8	316.7	1460.1	1350.1	23.3	28.15127272727273	37.993213636363635	631.89	647.0947826086957	6898314.0869565215		332041.0	560671.0	5256.0
2009-01	102.4	185.76	17119.0		8.7	236.3	1101.0	340.2	10.3	32.49225294117647	42.8510294117647	535.04	555.804375	10759299.25		4967.0	6421.0	5971.0
2009-02	101.7	182.98	17098.0		9.4	226.1	1071.8	426.2	13.2	35.814394736842104	45.79152105263157	544.58	552.8794736842106	6518816.0		11056.0	14384.0	7066.0
